latitude_x,longitude_x,utm_zone,utm_easting,utm_northing,altitude (ft),geometry,index_right,STATEFP,COUNTYFP,TRACTCE,STATE,COUNTY,latitude_y,longitude_y,TRACT,STATEFIPS,COUNTYFIPS,WNTW_RISKV,WNTW_RISKS,WNTW_RISKR,NRI_VER,total_rainfall_year,average_daily_rain,max_daily_rain,rainy_days_count,heavy_rain_events,very_heavy_events,mean_precip_probability,mean_precip_cover
32.53626229,-92.21430877,15S,573778.5,3600150.9,168.4,POINT (-92.21430877 32.53626229),554,22,73,5303,Louisiana,Ouachita,32.53046,-92.2286817,5303,22,73,906.2206266,40.88141559,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53605087,-92.21330702,15S,573872.8,3600128.2,153.3,POINT (-92.21330702 32.53605087),554,22,73,5303,Louisiana,Ouachita,32.53046,-92.2286817,5303,22,73,906.2206266,40.88141559,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.5360508,-92.21230673,15S,573966.7,3600128.9,147.1,POINT (-92.21230673 32.5360508),554,22,73,5303,Louisiana,Ouachita,32.53046,-92.2286817,5303,22,73,906.2206266,40.88141559,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53584065,-92.21130833,15S,574060.6,3600106.3,156.6,POINT (-92.21130833 32.53584065),554,22,73,5303,Louisiana,Ouachita,32.53046,-92.2286817,5303,22,73,906.2206266,40.88141559,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53563047,-92.21055996,15S,574131.1,3600083.5,165.9,POINT (-92.21055996 32.53563047),554,22,73,5303,Louisiana,Ouachita,32.53046,-92.2286817,5303,22,73,906.2206266,40.88141559,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53563043,-92.20930958,15S,574248.5,3600084.4,186.3,POINT (-92.20930958 32.53563043),554,22,73,5303,Louisiana,Ouachita,32.53046,-92.2286817,5303,22,73,906.2206266,40.88141559,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53563034,-92.20780911,15S,574389.4,3600085.4,168.4,POINT (-92.20780911 32.53563034),559,22,73,5304,Louisiana,Ouachita,32.52048536,-92.20894023,5304,22,73,1337.719272,47.81429863,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53563032,-92.20730894,15S,574436.4,3600085.7,159.2,POINT (-92.20730894 32.53563032),559,22,73,5304,Louisiana,Ouachita,32.52048536,-92.20894023,5304,22,73,1337.719272,47.81429863,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53583478,-92.20554348,15S,574602,3600109.6,181.8,POINT (-92.20554348 32.53583478),559,22,73,5304,Louisiana,Ouachita,32.52048536,-92.20894023,5304,22,73,1337.719272,47.81429863,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
32.53582861,-92.20452926,15S,574697.2,3600109.7,179.7,POINT (-92.20452926 32.53582861),559,22,73,5304,Louisiana,Ouachita,32.52048536,-92.20894023,5304,22,73,1337.719272,47.81429863,Relatively Low,3/1/23,21.448,0.058601093,1.329,145,1,0,39.61748634,8.47010929
